Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
A01;SYBR;;Std-01;;;30,43;30,52;0,121;10;1;10;0;72;
A02;SYBR;;Std-01;;;30,6;30,52;0,121;10;1;10;0;72;
A03;SYBR;;Std-02;;;29,19;29,27;0,12;100;2;100;0;72;
A04;SYBR;;Std-02;;;29,36;29,27;0,12;100;2;100;0;72;
A05;SYBR;;Std-03;;;26,74;26,62;0,173;1000;3;1000;0;72;
A06;SYBR;;Std-03;;;26,5;26,62;0,173;1000;3;1000;0;72;
A07;SYBR;;Std-04;;;23,6;23,58;0,033;10000;4;10000;0;72;
A08;SYBR;;Std-04;;;23,56;23,58;0,033;10000;4;10000;0;72;
A09;SYBR;;Std-05;;;20,13;20,09;0,054;100000;5;100000;0;72;
A10;SYBR;;Std-05;;;20,06;20,09;0,054;100000;5;100000;0;72;
A11;SYBR;;Std-06;;;16,16;16,2;0,051;1000000;6;1000000;0;72;
A12;SYBR;;Std-06;;;16,23;16,2;0,051;1000000;6;1000000;0;72;
B01;SYBR;;Std-07;;;11,29;11,2;0,121;10000000;7;10000000;0;72;
B02;SYBR;;Std-07;;;11,12;11,2;0,121;10000000;7;10000000;0;72;
B03;SYBR;;Std-08;;;8,37;8,32;0,08;100000000;8;100000000;0;72;
B04;SYBR;;Std-08;;;8,26;8,32;0,08;100000000;8;100000000;0;72;
B05;SYBR;;Unkn-01;;;22,16;22,19;0,033;11735,1242;4,069;11548,036;264,58268;72;
B06;SYBR;;Unkn-01;;;22,21;22,19;0,033;11360,9478;4,055;11548,036;264,58268;72;
B07;SYBR;;Unkn-02;;;22,28;22,31;0,032;10787,79161;4,033;10621,94475;234,54288;72;
B08;SYBR;;Unkn-02;;;22,33;22,31;0,032;10456,09789;4,019;10621,94475;234,54288;72;
B09;SYBR;;Unkn-03;;;21,86;21,87;0,015;14474,84582;4,161;14370,68545;147,30502;72;
B10;SYBR;;Unkn-03;;;21,88;21,87;0,015;14266,52507;4,154;14370,68545;147,30502;72;
B11;SYBR;;Unkn-04;;;35,44;30,32;7,251;1,23562;0,092;728,26485;1028,1746;72;
B12;SYBR;;Unkn-04;;;25,19;30,32;7,251;1455,29407;3,163;728,26485;1028,1746;72;
C01;SYBR;;Unkn-05;;;25,14;30,25;7,218;1500,44377;3,176;750,87999;1060,04327;72;
C02;SYBR;;Unkn-05;;;35,35;30,25;7,218;1,3162;0,119;750,87999;1060,04327;72;
C03;SYBR;;Unkn-06;;;25,49;25,45;0,068;1179,16798;3,072;1219,74978;57,39132;72;
C04;SYBR;;Unkn-06;;;25,4;25,45;0,068;1260,33157;3,1;1219,74978;57,39132;72;
C05;SYBR;;Unkn-07;;;34,24;32,24;2,824;2,84328;0,454;23,75017;29,56681;72;
C06;SYBR;;Unkn-07;;;30,24;32,24;2,824;44,65706;1,65;23,75017;29,56681;72;
C07;SYBR;;Unkn-08;;;21,19;21,21;0,031;22917,66864;4,36;22573,17347;487,18974;72;
C08;SYBR;;Unkn-08;;;21,24;21,21;0,031;22228,6783;4,347;22573,17347;487,18974;72;
C09;SYBR;;Unkn-09;;;22,31;27,32;7,087;10616,16705;4,026;5313,375;7499,28044;72;
C10;SYBR;;Unkn-09;;;32,33;27,32;7,087;10,58294;1,025;5313,375;7499,28044;72;
C11;SYBR;;Unkn-10;;;22,34;22,65;0,431;10374,33197;4,016;8595,72613;2515,32849;72;
C12;SYBR;;Unkn-10;;;22,95;22,65;0,431;6817,1203;3,834;8595,72613;2515,32849;72;
D01;SYBR;;Unkn-11;;;25,79;23,9;2,676;961,00637;2,983;7014,97971;8561,6112;72;
D02;SYBR;;Unkn-11;;;22,01;23,9;2,676;13068,95305;4,116;7014,97971;8561,6112;72;
D03;SYBR;;Unkn-12;;;22,51;22,86;0,493;9250,00805;3,966;7484,98838;2496,11475;72;
D04;SYBR;;Unkn-12;;;23,2;22,86;0,493;5719,96871;3,757;7484,98838;2496,11475;72;
D05;SYBR;;Unkn-13;;;24,07;24,04;0,041;3153,43545;3,499;3218,085;91,42827;72;
D06;SYBR;;Unkn-13;;;24,01;24,04;0,041;3282,73455;3,516;3218,085;91,42827;72;
D07;SYBR;;Unkn-14;;;26,09;26,11;0,029;784,13393;2,894;773,25828;15,38048;72;
D08;SYBR;;Unkn-14;;;26,13;26,11;0,029;762,38264;2,882;773,25828;15,38048;72;
D09;SYBR;;Unkn-15;;;24,59;24,49;0,152;2192,92698;3,341;2368,6972;248,57664;72;
D10;SYBR;;Unkn-15;;;24,38;24,49;0,152;2544,46743;3,406;2368,6972;248,57664;72;
D11;SYBR;;Unkn-16;;;21,53;21,6;0,109;18172,51827;4,259;17257,15755;1294,51555;72;
D12;SYBR;;Unkn-16;;;21,68;21,6;0,109;16341,79683;4,213;17257,15755;1294,51555;72;
E01;SYBR;;Unkn-17;;;22,43;22,8;0,518;9721,59156;3,988;7794,45694;2725,37991;72;
E02;SYBR;;Unkn-17;;;23,17;22,8;0,518;5867,32232;3,768;7794,45694;2725,37991;72;
E03;SYBR;;Unkn-18;;;22,17;22,14;0,039;11709,03479;4,069;11933,3933;317,29084;72;
E04;SYBR;;Unkn-18;;;22,11;22,14;0,039;12157,7518;4,085;11933,3933;317,29084;72;
E05;SYBR;;Unkn-19;;;36,25;29,31;9,811;0,70795;-0,15;5061,45201;7156,97289;72;
E06;SYBR;;Unkn-19;;;22,38;29,31;9,811;10122,19608;4,005;5061,45201;7156,97289;72;
E07;SYBR;;Unkn-20;;;21,41;21,58;0,251;19764,97276;4,296;17615,99031;3039,12012;72;
E08;SYBR;;Unkn-20;;;21,76;21,58;0,251;15467,00787;4,189;17615,99031;3039,12012;72;
E09;SYBR;;Unkn-21;;;25,42;25,25;0,237;1244,05666;3,095;1405,60922;228,46982;72;
E10;SYBR;;Unkn-21;;;25,08;25,25;0,237;1567,16179;3,195;1405,60922;228,46982;72;
E11;SYBR;;Unkn-22;;;25,6;25,63;0,044;1094,45554;3,039;1071,31765;32,72191;72;
E12;SYBR;;Unkn-22;;;25,66;25,63;0,044;1048,17977;3,02;1071,31765;32,72191;72;
F01;SYBR;;Unkn-23;;;24,15;24,1;0,066;2981,33305;3,474;3080,04434;139,59885;72;
F02;SYBR;;Unkn-23;;;24,06;24,1;0,066;3178,75564;3,502;3080,04434;139,59885;72;
F03;SYBR;;Unkn-24;;;21,42;21,33;0,129;19605,01174;4,292;20917,12768;1855,61216;72;
F04;SYBR;;Unkn-24;;;21,24;21,33;0,129;22229,24362;4,347;20917,12768;1855,61216;72;
F05;SYBR;;NTC;;;29,44;29,44;0;;;;0;72;
F06;SYBR;;NTC;;;29,5;29,5;0;;;;0;72;
F07;SYBR;;NTC;;;30,3;30,3;0;;;;0;72;
F08;SYBR;;NTC;;;30,1;30,1;0;;;;0;72;